"Gene" "Cannonical" "Length" "Cromo"
"HAUS6" 1 6323 "9"
"OR10Z1" 1 6323 "1"
"CRIPT" 1 6323 "2"
"ANKS1B" 1 6322 "12"
"HDLBP" 1 6322 "2"
"ST8SIA4" 1 6321 "5"
"LRATD1" 1 6319 "2"
"OR5A2" 1 6319 "11"
"ATG2A" 1 6318 "11"
"AK9" 1 6317 "6"
"MAPK13" 1 6316 "6"
"GNB4" 1 6315 "3"
"PTGFRN" 1 6314 "1"
"LMX1B" 1 6312 "9"
"KIF3A" 1 6311 "5"
"WAPL" 1 6310 "10"
"PACRGL" 1 6309 "4"
"PPM1K" 1 6309 "4"
"PUM2" 1 6309 "2"
"P2RY1" 1 6309 "3"
"SCYL3" 1 6308 "1"
"DGKD" 1 6308 "2"
"BLACAT1" 1 6306 "1"
"HDX" 1 6305 "X"
"PRDM10" 1 6305 "11"
"YTHDC2" 1 6305 "5"
"NPAS3" 1 6304 "14"
"TMCC1" 1 6303 "3"
"ST18" 1 6302 "8"
"MFAP3L" 1 6301 "4"
"PAIP2B" 1 6300 "2"
"MEGF9" 1 6300 "9"
"LINC00702" 1 6300 "10"
"RAPGEF3" 1 6300 "12"
"PHLPP1" 1 6299 "18"
"GPAT4" 1 6298 "8"
"CDH19" 1 6297 "18"
"FUNDC2" 1 6297 "X"
"TTN-AS1" 1 6297 "2"
"KLHL6" 1 6295 "3"
"KIF24" 1 6295 "9"
"RASGRF1" 1 6294 "15"
"CEP41" 1 6292 "7"
"NPIPB13" 1 6292 "16"
"CREG2" 1 6292 "2"
"ABCD2" 1 6290 "12"
"PHEX" 1 6288 "X"
"PPARGC1A" 1 6288 "4"
"FNDC3A" 1 6286 "13"
"PHKA1" 1 6286 "X"
"SLC5A12" 1 6285 "11"
"RAB11FIP5" 1 6285 "2"
"TMEM74" 1 6283 "8"
"FRMD4B" 1 6283 "3"
"ZNF766" 1 6282 "19"
"STOML1" 1 6280 "15"
"ZFP37" 1 6277 "9"
"EPB41L1" 1 6276 "20"
"C1GALT1" 1 6275 "7"
"ZNF442" 1 6274 "19"
"LCT" 1 6273 "2"
"KLHL15" 1 6272 "X"
"CCBE1" 1 6271 "18"
"ADCY7" 1 6271 "16"
"TMEM127" 1 6271 "2"
"PCF11" 1 6270 "11"
"SUGT1P4-STRA6LP-CCDC180" 1 6269 "9"
"ITPKB" 1 6269 "1"
"ZBTB39" 1 6268 "12"
"ZNF471" 1 6266 "19"
"ANOS1" 1 6265 "X"
"NCOA7" 1 6264 "6"
"NUP205" 1 6264 "7"
"CNTNAP4" 1 6263 "16"
"ZNF366" 1 6262 "5"
"KCNMA1" 1 6261 "10"
"PPP1R16B" 1 6259 "20"
"ASAP1" 1 6259 "8"
"PIK3CB" 1 6259 "3"
"ZNF24" 1 6256 "18"
"SETD6" 1 6256 "16"
"SLC7A6" 1 6255 "16"
"NUTM2E" 1 6255 "10"
"IKZF1" 1 6255 "7"
"SMIM14" 1 6252 "4"
"PPL" 1 6251 "16"
"GNA13" 1 6249 "17"
"FAM83B" 1 6244 "6"
"ADAT2" 1 6244 "6"
"ZNF814" 1 6244 "19"
"ADAMTS3" 1 6244 "4"
"SENP5" 1 6244 "3"
"AHR" 1 6243 "7"
"TNKS2" 1 6242 "10"
"CDC5L" 1 6241 "6"
"PITPNC1" 1 6241 "17"
"ALK" 1 6240 "2"
"SMURF2" 1 6240 "17"
"SGMS2" 1 6240 "4"
"ERC2" 1 6239 "3"
"IGFBP5" 1 6239 "2"
"RNMT" 1 6236 "18"
"RESF1" 1 6234 "12"
"PHF20L1" 1 6233 "8"
"ARHGEF28" 1 6233 "5"
"YTHDC1" 1 6233 "4"
"RLF" 1 6232 "1"
"RALGAPA1P1" 1 6232 "9"
"CDK5RAP2" 1 6232 "9"
"KCTD12" 1 6231 "13"
"TRAPPC8" 1 6230 "18"
"PLXDC1" 1 6230 "17"
"FBXO42" 1 6227 "HG1343_HG173_HG459_PATCH"
"GNAL" 1 6227 "18"
"PCDH9" 1 6227 "13"
"PRR11" 1 6226 "17"
"SOBP" 1 6225 "6"
"TTPAL" 1 6224 "20"
"AVPR1A" 1 6222 "12"
"CNOT6" 1 6219 "5"
"LYRM7" 1 6219 "5"
"RCN2" 1 6218 "15"
"TAF1L" 1 6216 "9"
"AMER3" 1 6216 "2"
"FAM135A" 1 6215 "6"
"ACSBG1" 1 6215 "15"
"RALY" 1 6213 "20"
"NUP107" 1 6213 "12"
"MYO3B" 1 6213 "2"
"PAX7" 1 6213 "1"
"SPATS2L" 1 6212 "2"
"MEGF11" 1 6212 "15"
"NFYA" 1 6209 "6"
"SLC25A53" 1 6207 "X"
"COL5A3" 1 6207 "19"
"ANKRD31" 1 6207 "5"
"SPECC1L-ADORA2A" 1 6204 "22"
"SETDB2" 1 6203 "13"
"ZNHIT6" 1 6203 "1"
"ZNF585B" 1 6197 "19"
"DPY19L4" 1 6197 "8"
"SLC35D1" 1 6193 "1"
"CYB5RL" 1 6193 "1"
"SP110" 1 6192 "2"
"SPTLC3" 1 6191 "20"
"KCNK3" 1 6191 "2"
"SUGP2" 1 6189 "19"
"BCL9" 1 6189 "1"
"ZNF514" 1 6189 "2"
"ITPK1" 1 6188 "14"
"TMEM18" 1 6187 "2"
"PRORP" 1 6186 "14"
"DAAM2" 1 6185 "6"
"SAP30L" 1 6185 "5"
"RMND5A" 1 6183 "2"
"MOCOS" 1 6182 "18"
"KREMEN1" 1 6181 "22"
"OCLN" 1 6181 "5"
"STAG2" 1 6179 "X"
"IFFO2" 1 6179 "1"
"OR52A1" 1 6178 "11"
"ZNF738" 1 6177 "19"
"DENND2C" 1 6177 "1"
"LRRC49" 1 6176 "15"
"DLG4" 1 6176 "17"
"UTY" 1 6174 "Y"
"NAA15" 1 6174 "4"
"NEMP2" 1 6172 "2"
"CUL5" 1 6171 "11"
"KBTBD11-OT1" 1 6169 "8"
"MID1" 1 6168 "X"
"SLC30A9" 1 6164 "4"
"IPO7" 1 6162 "11"
"ATP8B1" 1 6161 "18"
"CDC42BPG" 1 6161 "11"
"ALG9" 1 6158 "11"
"CC2D2B" 1 6157 "10"
"PRKD3" 1 6156 "2"
"GRID1" 1 6154 "10"
"STX3" 1 6154 "11"
"SYAP1" 1 6153 "X"
"PLXNB3" 1 6153 "X"
"ZNF813" 1 6153 "19"
"ZNF608" 1 6152 "5"
"CEMIP2" 1 6152 "9"
"SORCS2" 1 6152 "4"
"CHRNA7" 1 6149 "15"
"SLC9A8" 1 6147 "20"
"CILK1" 1 6146 "6"
"ETV6" 1 6144 "12"
"PKD1P6-NPIPP1" 1 6144 "16"
"SCAMP1" 1 6143 "5"
"ZC3H4" 1 6143 "19"
"CPPED1" 1 6143 "16"
"DYNLL2-DT" 1 6142 "17"
"GBP4" 1 6141 "1"
"MARCHF1" 1 6140 "4"
"PAK2" 1 6139 "3"
"DCUN1D3" 1 6136 "16"
"TMEM132D" 1 6135 "12"
"ZBED3" 1 6134 "5"
"ZNF525" 1 6133 "19"
"PLCD3" 1 6132 "17"
"CACNB2" 1 6129 "10"
"IRAG1" 1 6129 "11"
"PTPRO" 1 6128 "12"
"DCBLD2" 1 6128 "3"
"INTS2" 1 6128 "17"
"DDX6" 1 6128 "11"
"ETFBKMT" 1 6128 "12"
"TBC1D2B" 1 6126 "15"
"MTUS1" 1 6125 "8"
"FAM169A" 1 6125 "5"
"POU6F2" 1 6123 "7"
"OR4D9" 1 6123 "11"
"ITSN2" 1 6122 "2"
"LIN54" 1 6121 "4"
"LIN7A" 1 6121 "12"
"TMEM255B" 1 6117 "13"
"ZNF33A" 1 6116 "10"
"KIF3B" 1 6116 "20"
"BAZ1B" 1 6115 "7"
"TCF12" 1 6114 "15"
"FAM225A" 1 6114 "9"
"EDEM1" 1 6113 "3"
"FGF10" 1 6113 "5"
"NPAT" 1 6113 "11"
"CALCRL" 1 6112 "2"
"THSD7B" 1 6112 "2"
"NAA50" 1 6112 "3"
"BNIP2" 1 6111 "15"
"RPS27L" 1 6110 "15"
"GAB2" 1 6110 "11"
"TNNI1" 1 6110 "1"
"ARHGAP20" 1 6109 "11"
"NUDT16" 1 6108 "3"
"ZNF490" 1 6108 "19"
"HEATR6" 1 6108 "17"
"DNAJC21" 1 6107 "5"
"RIMBP3" 1 6105 "22"
"OBSL1" 1 6105 "2"
"OR10A6" 1 6104 "HSCHR11_1_CTG1_2"
"TMX4" 1 6103 "20"
"PRKX" 1 6102 "X"
"BCL11A" 1 6102 "2"
"TM9SF3" 1 6100 "10"
"LINC01445" 1 6099 "HSCHR7_4_CTG1"
"CA12" 1 6098 "15"
"NEK1" 1 6096 "4"
"L2HGDH" 1 6095 "14"
"RASA4B" 1 6095 "7"
"TIAM2" 1 6094 "6"
"KDM6A" 1 6094 "X"
"IPMK" 1 6093 "10"
"ADCY6" 1 6092 "12"
"THADA" 1 6091 "2"
"ADGRB3" 1 6090 "6"
"UBE4A" 1 6088 "11"
"VKORC1L1" 1 6087 "7"
"ANKRD44" 1 6087 "2"
"BMP3" 1 6087 "4"
"OR2G6" 1 6086 "HSCHR1_6_CTG31"
"ZNF629" 1 6083 "16"
"SKI" 1 6083 "1"
"NOM1" 1 6082 "7"
"SLAIN2" 1 6081 "4"
"TTC3P1" 1 6081 "X"
"PGM3" 1 6079 "6"
"SP4" 1 6077 "7"
"IFNAR1" 1 6075 "21"
"SEMA4F" 1 6075 "2"
"PTPN11" 1 6073 "12"
"PKN2" 1 6070 "1"
"CFTR" 1 6070 "7"
"RGS6" 1 6069 "14"
"APPL1" 1 6069 "3"
"DOCK2" 1 6069 "5"
"KCNJ5" 1 6068 "11"
"TUBGCP6" 1 6066 "22"
"LRRTM2" 1 6064 "5"
"AHI1" 1 6063 "6"
"ZNF626" 1 6063 "19"
"STAG1" 1 6062 "3"
"DOC2B" 1 6062 "17"
"CRIM1" 1 6060 "2"
"KPNB1" 1 6058 "17"
"SLX4IP" 1 6056 "20"
"NAT8L" 1 6056 "4"
"WSCD1" 1 6056 "17"
"SPOPL" 1 6056 "2"
"ZSCAN29" 1 6055 "15"
"ELAVL1" 1 6054 "19"
"NEK4" 1 6053 "3"
"CBX6" 1 6052 "22"
"ZSWIM8" 1 6052 "10"
"LPIN2" 1 6052 "18"
"BRPF3" 1 6052 "6"
"PPFIA1" 1 6051 "HG2115_PATCH"
"FER1L6" 1 6051 "8"
"TMEM184A" 1 6051 "7"
"TGOLN2" 1 6050 "2"
"KAZN" 1 6049 "1"
"LRRTM3" 1 6049 "10"
"PHACTR4" 1 6048 "1"
"INHBA" 1 6046 "7"
"NOP9" 1 6045 "HG1_PATCH"
"MYH2" 1 6044 "17"
"PDLIM5" 1 6043 "4"
"MARCHF7" 1 6043 "2"
"DLG3" 1 6042 "X"
"FAM149A" 1 6042 "4"
"PHLDB2" 1 6042 "3"
"MYH8" 1 6041 "17"
"IBTK" 1 6040 "HG2072_PATCH"
"LRRC37A3" 1 6038 "17"
"SLC36A4" 1 6037 "11"
"IQSEC2" 1 6037 "X"
"BMP10" 1 6036 "2"
"MADD" 1 6036 "11"
"SHB" 1 6035 "9"
"DFFA" 1 6035 "1"
"DNAJC16" 1 6034 "1"
"MYH3" 1 6032 "17"
"MTAP" 1 6032 "9"
"ZNF285" 1 6031 "19"
"EPB41" 1 6031 "1"
"NCAPH" 1 6030 "2"
"CACNA1S" 1 6028 "1"
"MYH7" 1 6027 "14"
"NUP153" 1 6026 "6"
"SLC12A5" 1 6026 "20"
"KSR1" 1 6026 "17"
"GRM6" 1 6025 "5"
"BTRC" 1 6024 "10"
"AFAP1L1" 1 6024 "5"
"MYH1" 1 6023 "17"
"UBXN2A" 1 6022 "2"
"ARID4B" 1 6022 "1"
"POLI" 1 6020 "18"
"ADGRB1" 1 6020 "8"
"MAST3" 1 6020 "19"
"WDHD1" 1 6019 "14"
"CNR1" 1 6019 "6"
"MUC22" 1 6019 "HSCHR6_MHC_COX_CTG1"
"NFIX" 1 6019 "19"
"PSEN1" 1 6018 "14"
"DIO2" 1 6017 "14"
"ILF3" 1 6017 "19"
"MYH4" 1 6016 "17"
"DDX60" 1 6015 "4"
"SYNGAP1" 1 6015 "6"
"TLR3" 1 6015 "4"
"PLD1" 1 6015 "3"
"IQGAP3" 1 6013 "HG2515_PATCH"
"SI" 1 6012 "3"
"YIPF6" 1 6010 "X"
"CMC1" 1 6009 "3"
"ABCA10" 1 6008 "17"
"RNF228" 1 6008 "2"
"KIF13A" 1 6007 "6"
"CACNA1F" 1 6006 "X"
"PTPRK" 1 6006 "6"
"ADAMTS15" 1 6006 "11"
"TRPM1" 1 6004 "HSCHR15_4_CTG8"
"JARID2" 1 6003 "6"
"DTX4" 1 6003 "11"
"DNAH10OS" 1 6003 "12"
"IPO5" 1 6002 "13"
"KLB" 1 6002 "4"
"ABCA8" 1 6002 "17"
"OBI1-AS1" 1 6001 "13"
"BTBD8" 1 5999 "1"
"OR5H1" 1 5999 "3"
"EYA3" 1 5999 "1"
"FER1L4" 1 5998 "20"
"ANO6" 1 5998 "12"
"GYG1" 1 5996 "3"
"PDE3B" 1 5995 "11"
"MYH13" 1 5994 "17"
"FOXP4" 1 5994 "6"
"SETD1A" 1 5991 "16"
"FAM20B" 1 5991 "1"
"MTMR4" 1 5987 "17"
"RGS8" 1 5987 "1"
"GOSR1" 1 5987 "17"
"PODXL" 1 5986 "7"
"NTN1" 1 5986 "17"
"TBC1D1" 1 5985 "4"
"N4BP3" 1 5985 "5"
"MIR600HG" 1 5984 "9"
"KCNT2" 1 5984 "HSCHR1_5_CTG31"
"OR1I1" 1 5984 "19"
"SLC25A3" 1 5984 "12"
"PPFIBP1" 1 5983 "12"
"CPAMD8" 1 5983 "19"
"MIPOL1" 1 5983 "14"
"ZNF33B" 1 5982 "10"
"ZNF512B" 1 5982 "20"
"FAM117B" 1 5982 "2"
"OR4K13" 1 5980 "HG2526_HG2573_PATCH"
"RASSF8" 1 5980 "12"
"TPPP" 1 5979 "5"
"PDE4C" 1 5979 "19"
"DPY19L3" 1 5978 "19"
"CLIP1" 1 5978 "12"
"THCAT155" 1 5977 "12"
"SCYL2" 1 5977 "12"
"FBXO21" 1 5976 "12"
"FUT4" 1 5975 "11"
"RABGAP1L-DT" 1 5975 "1"
"SMG6" 1 5974 "17"
"ATP8B2" 1 5974 "1"
"GGA2" 1 5973 "16"
"QRICH2" 1 5972 "17"
"NEK5" 1 5971 "13"
"RUNX1" 1 5971 "21"
"TLCD2" 1 5971 "HSCHR17_1_CTG2"
"CHRM2" 1 5971 "7"
"PARD3" 1 5971 "10"
"AK2" 1 5970 "1"
"GPR63" 1 5967 "6"
"DNAJB14" 1 5967 "4"
"DPP10" 1 5964 "2"
"ARHGAP23" 1 5964 "HSCHR17_7_CTG4"
"CDCP1" 1 5963 "3"
"LARP4B" 1 5963 "10"
"DNAJC6" 1 5962 "1"
"ZNF639" 1 5962 "3"
"TSC22D1" 1 5961 "13"
"LRRN1" 1 5960 "3"
"DCLRE1C" 1 5960 "10"
"GALNT10" 1 5958 "5"
"LGALS8" 1 5957 "1"
"ZBTB4" 1 5956 "HG2046_PATCH"
"NECTIN1" 1 5956 "11"
"FBXO31" 1 5953 "16"
"HAPSTR1" 1 5952 "16"
"INKA2" 1 5951 "1"
"NF2" 1 5950 "22"
"SMC5" 1 5949 "9"
"ARID3A" 1 5948 "19"
"SH3RF3" 1 5948 "2"
"DCAF5" 1 5946 "14"
"CFAP65" 1 5946 "2"
"SMG7" 1 5946 "1"
"EMILIN2" 1 5944 "18"
"MMAA" 1 5944 "4"
"NKAP" 1 5942 "X"
"ZFP82" 1 5941 "19"
"ITGB3" 1 5941 "17"
"SWINGN" 1 5940 "13"
"MYRF" 1 5940 "11"
"JAG1" 1 5940 "20"
"ZBTB43" 1 5940 "9"
"MYH6" 1 5940 "14"
"ANO3" 1 5937 "11"
"ZCCHC2" 1 5937 "18"
"ZEB1" 1 5937 "10"
"SCAND3" 1 5935 "6"
"OR2M4" 1 5934 "1"
"CACHD1" 1 5933 "1"
"SLC6A2" 1 5933 "16"
"DOCK11P1" 1 5932 "14"
"MOCS2-DT" 1 5930 "5"
"NEU3" 1 5929 "11"
"SMC2" 1 5928 "9"
"FBXO45" 1 5927 "3"
"TRPV3" 1 5927 "17"
"DCP1A" 1 5926 "3"
"GABPB1-IT1" 1 5926 "15"
"PCDH18" 1 5925 "4"
"ZDHHC2" 1 5924 "8"
"OGFRP1" 1 5923 "22"
"FAM120AOS" 1 5922 "9"
"TMEM185B" 1 5922 "2"
"FLVCR1" 1 5919 "1"
"ZC3H11A" 1 5917 "1"
"STARD13" 1 5915 "13"
"ESYT3" 1 5915 "3"
"COL18A1" 1 5915 "HG2521_PATCH"
"CUL4B" 1 5915 "X"
"AP1AR" 1 5915 "4"
"COL1A1" 1 5914 "17"
"ELP1" 1 5913 "9"
"EMP1" 1 5913 "12"
"PHLDA1" 1 5913 "12"
"DAPK1" 1 5912 "9"
"MEF2D" 1 5912 "HG2515_PATCH"
"WAC" 1 5912 "10"
"EXOC6B" 1 5910 "2"
"RABEP1" 1 5909 "17"
"SEMA6D" 1 5907 "15"
"ZC3H7B" 1 5906 "22"
"UBE4B" 1 5905 "1"
"RNF111" 1 5905 "15"
"P2RX5-TAX1BP3" 1 5905 "17"
"CTTNBP2" 1 5904 "7"
"FGD5" 1 5903 "3"
"ESYT2" 1 5902 "7"
"SAR1A" 1 5902 "10"
"GPRASP1" 1 5901 "X"
"ANKRD36B" 1 5898 "HG2275_PATCH"
"ARHGAP11A" 1 5898 "HSCHR15_4_CTG8"
"PCDHAC1" 1 5896 "HG2308_PATCH"
"DNTTIP2" 1 5896 "1"
"EPB41L4B" 1 5896 "9"
"ITGB4" 1 5896 "17"
"UBE2QL1" 1 5895 "HG2476_PATCH"
"MPV17L" 1 5894 "16"
"ABCC11" 1 5894 "16"
"IDE" 1 5894 "10"
"ARHGEF40" 1 5893 "14"
"ZNF354C" 1 5893 "5"
"SLC30A1" 1 5893 "1"
"STK10" 1 5892 "5"
"ZC3H8" 1 5892 "2"
"DAAM1" 1 5890 "14"
"PAPLN" 1 5889 "14"
"CTNND2" 1 5888 "5"
"PDCD6IP" 1 5884 "3"
"RASSF6" 1 5882 "4"
"MAPK1" 1 5881 "22"
"LRRC15" 1 5881 "3"
"PHF20" 1 5879 "20"
"HAUS3" 1 5879 "4"
"CISD2" 1 5878 "4"
"WDR59" 1 5878 "16"
"PRICKLE1" 1 5878 "12"
"USP45" 1 5878 "6"
"TMCC3" 1 5874 "12"
"PDCD6-AHRR" 1 5874 "5"
"LYN" 1 5872 "8"
"USP36" 1 5872 "17"
"TNFRSF9" 1 5872 "1"
"PELI2" 1 5871 "14"
"CDC73" 1 5869 "1"
"ZSWIM5" 1 5868 "1"
"TGFB2" 1 5868 "1"
"MROH7-TTC4" 1 5867 "1"
"TIFAB" 1 5867 "5"
"POM121C" 1 5867 "7"
"C11orf87" 1 5867 "11"
"KIF5B" 1 5866 "10"
"FAM13A" 1 5866 "4"
"CTTNBP2NL" 1 5864 "1"
"ARID4A" 1 5864 "14"
"LAMB4" 1 5861 "7"
"SUPT20HL2" 1 5860 "X"
"GPATCH2" 1 5859 "1"
"FOXO3B" 1 5859 "17"
"NLGN4X" 1 5858 "X"
"ARHGAP28" 1 5858 "18"
"ANTXR1" 1 5858 "2"
"PALLD" 1 5858 "4"
"ROR1" 1 5858 "1"
"RAD18" 1 5857 "3"
"CHRNB2" 1 5857 "1"
"HIF3A" 1 5856 "19"
"ABCC4" 1 5855 "13"
"VPS41" 1 5854 "7"
"TUT4" 1 5853 "1"
"DCAF17" 1 5853 "2"
"MAP3K21" 1 5853 "1"
"LRRC28" 1 5852 "15"
"B3GALT1" 1 5850 "2"
"ACADSB" 1 5848 "10"
"VWA2" 1 5846 "10"
"LRRC3" 1 5845 "21"
"LHX4" 1 5844 "1"
"POM121" 1 5842 "7"
"ZFAND5" 1 5841 "9"
"METTL2B" 1 5841 "7"
"WNT5A" 1 5841 "3"
"NUP210L" 1 5841 "1"
"CASKIN1" 1 5839 "16"
"BACE1" 1 5835 "11"
"ZNF660" 1 5834 "HG2066_PATCH"
"HGF" 1 5834 "7"
"ADAMTS18" 1 5833 "16"
"KDR" 1 5833 "4"
"TRAF3IP2" 1 5833 "6"
"FLT4" 1 5833 "5"
"RPS6KA2" 1 5832 "6"
"PPIP5K1" 1 5831 "15"
"USP7" 1 5831 "16"
"KCND2" 1 5830 "7"
"NPTXR" 1 5830 "22"
"CDC27" 1 5830 "17"
"AEBP2" 1 5830 "12"
"PREPL" 1 5829 "2"
"IFI44L" 1 5829 "1"
"DIXDC1" 1 5826 "11"
"ZFP30" 1 5826 "19"
"ELL2" 1 5826 "5"
"AASS" 1 5825 "7"
"DMBT1L1" 1 5824 "10"
"ZNF500" 1 5824 "16"
"ZNF804B" 1 5823 "7"
"CUL4A" 1 5821 "13"
"TNKS1BP1" 1 5820 "11"
"SLC35C2" 1 5820 "20"
"NEMF" 1 5819 "14"
"NCAM1" 1 5819 "11"
"LINC01128" 1 5819 "1"
"TBL1X" 1 5818 "X"
"EFCAB14" 1 5817 "1"
"POTEB3" 1 5816 "15"
"ITGA6" 1 5816 "2"
"GRIK4" 1 5815 "11"
"TOP2B" 1 5814 "3"
"NAA35" 1 5813 "9"
"MON1B" 1 5813 "16"
"GLIPR1" 1 5812 "12"
"GPD2" 1 5812 "2"
"KDM5C" 1 5810 "X"
"HEPHL1" 1 5809 "11"
"MAPK8" 1 5809 "10"
"IQGAP2" 1 5808 "5"
"NDST3" 1 5806 "4"
"ABCC2" 1 5806 "10"
"TMEM132E" 1 5806 "17"
"ENTPD4" 1 5803 "8"
"CEP68" 1 5803 "2"
"CHRM5" 1 5802 "15"
"DGKG" 1 5802 "3"
"PRXL2A" 1 5801 "10"
"DAGLA" 1 5799 "11"
"METTL2A" 1 5799 "17"
"SPATA17" 1 5798 "1"
"HOMER1" 1 5798 "5"
"RIMBP3C" 1 5796 "22"
"ZNF587B" 1 5794 "19"
"FOCAD" 1 5794 "9"
"MPI" 1 5793 "15"
"NR3C2" 1 5792 "4"
"NID1" 1 5792 "1"
"LINC00639" 1 5792 "14"
"PVR" 1 5792 "19"
"ZNF181" 1 5792 "19"
"WASHC4" 1 5791 "12"
"GPLD1" 1 5790 "6"
"ZNF217" 1 5790 "20"
"ABCC5" 1 5790 "3"
"HRK" 1 5789 "12"
"TMED5" 1 5789 "1"
"RIC3" 1 5788 "11"
"CAMK2D" 1 5785 "4"
"GRID2" 1 5783 "4"
"FOXO1" 1 5779 "13"
"KIF5A" 1 5779 "12"
"CEP63" 1 5779 "3"
"SGPL1" 1 5778 "10"
"GOLGA8A" 1 5777 "HSCHR15_9_CTG8"
"RNF216" 1 5777 "7"
"ZFP91" 1 5776 "11"
"DTWD2" 1 5776 "5"
"KLHL31" 1 5776 "6"
"FHIP2A" 1 5774 "10"
"JAG2" 1 5773 "14"
"SLC36A1" 1 5772 "5"
"NAA25" 1 5771 "12"
"G2E3" 1 5770 "14"
"FRMD1" 1 5770 "6"
"PRELP" 1 5769 "1"
"DTX3L" 1 5768 "3"
"CADPS2" 1 5768 "7"
"GABRB3" 1 5767 "15"
"CTIF" 1 5765 "18"
"KLHL4" 1 5765 "X"
"IL6R" 1 5764 "1"
"SLC24A1" 1 5762 "15"
"MYPN" 1 5762 "10"
"ATP5F1A" 1 5761 "18"
"ADGRF5" 1 5761 "6"
"RNPEPL1" 1 5761 "2"
"TOPBP1" 1 5761 "3"
"MTURN" 1 5761 "7"
"MYOM3" 1 5760 "1"
"CPS1" 1 5760 "2"
"FAM53B" 1 5759 "10"
"ZNF557" 1 5759 "19"
"ADAT1" 1 5757 "16"
"PHF24" 1 5757 "9"
"TCAF1" 1 5754 "7"
"MYLK4" 1 5754 "6"
"CNKSR2" 1 5753 "X"
"ABCC6" 1 5753 "HSCHR16_1_CTG1"
"ABHD18" 1 5753 "4"
"SSX2IP" 1 5752 "1"
"POGK" 1 5751 "1"
"RCOR1" 1 5751 "14"
"SLC38A11" 1 5750 "2"
"PRKCE" 1 5749 "2"
"MAML1" 1 5748 "HG30_PATCH"
"SMARCA2" 1 5748 "9"
"ABTB3" 1 5746 "12"
"RIMBP2" 1 5746 "12"
"TRIM25" 1 5745 "17"
"IFT70A" 1 5744 "2"
"NUAK1" 1 5744 "12"
"ZC3H12D" 1 5744 "6"
"CRPPA" 1 5742 "7"
"BICC1" 1 5741 "10"
"EIF5B" 1 5741 "2"
"METTL16" 1 5740 "17"
"KLHL9" 1 5740 "9"
"IL5RA" 1 5739 "3"
"MAST2" 1 5737 "1"
"RADIL" 1 5736 "7"
"GAS2L3" 1 5736 "12"
"TLE3" 1 5736 "15"
"CA8" 1 5735 "8"
"NEDD4" 1 5735 "15"
"DIAPH1" 1 5735 "5"
"TOM1L2" 1 5735 "17"
"CHST11" 1 5734 "12"
"PIP4K2B" 1 5734 "HSCHR17_7_CTG4"
"FAM171B" 1 5731 "2"
"UBE3B" 1 5730 "12"
"TBC1D8B" 1 5729 "X"
"BAZ1A" 1 5729 "14"
"RIMBP3B" 1 5728 "22"
"DENND4B" 1 5728 "1"
"GARIN1A" 1 5727 "7"
"CCDC6" 1 5727 "10"
"RNFT2" 1 5727 "12"
"ALX4" 1 5727 "11"
"KBTBD12" 1 5727 "3"
"NCAM1-AS1" 1 5727 "11"
"MDGA2" 1 5726 "14"
"NDUFV3" 1 5725 "21"
"PCDHAC2" 1 5725 "HG2308_PATCH"
"E2F7" 1 5725 "12"
"COLEC12" 1 5724 "18"
"SYT15" 1 5724 "10"
"TLK1" 1 5723 "2"
"ZNF280B" 1 5721 "HSCHR22_1_CTG3"
"KCNK6" 1 5721 "19"
"HLF" 1 5721 "17"
"GNPTAB" 1 5720 "12"
"RNF144A" 1 5720 "2"
"MRC2" 1 5719 "17"
"KMT5B" 1 5718 "11"
"ZFTA" 1 5716 "11"
"C7" 1 5716 "5"
"XDH" 1 5715 "2"
"INSYN2B" 1 5715 "5"
"HSPA12A" 1 5714 "10"
"GATAD2A" 1 5714 "19"
"SLC29A4" 1 5714 "7"
"HOOK1" 1 5713 "1"
"EPHA3" 1 5712 "3"
"EIF5" 1 5710 "14"
"HNRNPA3" 1 5710 "2"
"CCNJL" 1 5709 "5"
"ADGRB2" 1 5708 "1"
"OR2T12" 1 5708 "1"
"MYOM1" 1 5707 "18"
"ATXN7L1" 1 5707 "7"
"CLIC5" 1 5706 "6"
"LZTS1" 1 5706 "8"
"PCDH12" 1 5706 "5"
"PRRG3" 1 5705 "X"
"KY" 1 5704 "3"
"SOCS6" 1 5703 "18"
"C18orf54" 1 5703 "18"
"CNNM1" 1 5702 "10"
"C2CD6" 1 5702 "2"
"THBS2" 1 5701 "6"
"EYA4" 1 5701 "6"
"PSMG3-AS1" 1 5701 "7"
"NFATC4" 1 5700 "HG1_PATCH"
"AP2B1" 1 5700 "17"
"MAPK8IP2" 1 5700 "22"
"PDGFRB" 1 5700 "5"
"FBXO48" 1 5699 "2"
"FEM1C" 1 5697 "5"
"DSG2" 1 5697 "18"
"FGFR1" 1 5697 "8"
"SLC25A36" 1 5697 "3"
"HCG11" 1 5696 "HSCHR6_1_CTG1"
"CACNA2D2" 1 5696 "3"
"JADE1" 1 5695 "4"
"ZRANB1" 1 5695 "10"
"USP40" 1 5695 "2"
"TOP2A" 1 5695 "17"
"SMIM12" 1 5694 "1"
"ABCC3" 1 5693 "17"
"ZNF225-AS1" 1 5693 "19"
"LAMB2" 1 5692 "3"
"ZNF100" 1 5691 "19"
"PXMP4" 1 5690 "20"
"NUP188" 1 5689 "9"
"TRPM5" 1 5689 "11"
"MIEF1" 1 5688 "22"
"ATP8B4" 1 5688 "15"
"BICRA" 1 5687 "19"
